## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"Collection Curator","externalEntity",,""
2,"Repository Manager","externalEntity",,""
3,"Set Data Expiry","process","1","Expiry Date Setting"
4,"View Deletion Dates","process","1","Deletion Date Display"
5,"Track Financial Responsibility","process","2","Financial Responsibility Tracking"
6,"Run Storage Cost Report","process","2","Storage Cost Report Generation"
7,"Map Items Across Collections","process","1","Collection Mapping"
8,"Item Records","dataStore","3,4,7","Expiry Date Setting,Deletion Date Display,Collection Mapping"
9,"Deletion Schedules","dataStore","3","Expiry Date Setting"
10,"Financial Responsibility Info","dataStore","5","Financial Responsibility Tracking"
11,"Storage Consumption Data","dataStore","6","Storage Cost Report Generation"
