## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"Sponsors","externalEntity",,
2,"Sponsors List","process","1","Sponsors"
3,"Users","externalEntity",,
4,"Users List","process","3","Users"
5,"Trainers","externalEntity",,
6,"Trainers List","process","5","Trainers"
7,"Training Nodes","dataStore","6","Training Nodes"
8,"Training Node Editing","process","7","Training Nodes"
9,"Training Node Links","dataStore","8","Training Node Links"
10,"Maps","externalEntity",,
11,"Buildings and Rooms","process","10","Maps"
12,"Clear Map","dataStore","11","Buildings and Rooms"
13,"Email","process","5","Trainers"
14,"Training Coordinators","externalEntity",,
15,"Email All Trainers","process","14","Training Coordinators"
