## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"Faculty Member","externalEntity",,""
2,"Access Collection","process","1","Repository"
3,"Repository","dataStore","2","Collection"
4,"Faculty Member","externalEntity",,""
5,"Direct Students","process","4","Item"
6,"Item","dataStore","5","Repository"
7,"Cornell Faculty Member","externalEntity",,""
8,"Upload Data","process","7","Publication"
9,"Publication","dataStore","8","Repository"
10,"Patron","externalEntity",,""
11,"View Reports/Datasets","process","10","Repository"
12,"Repository","dataStore","11","Reports/Datasets"
13,"Patron","externalEntity",,""
14,"Select/Deselect Reports/Datasets","process","13","Email"
15,"Email","dataStore","14","Reports/Datasets"
